#TYPE Selected.System.ServiceProcess.ServiceController
"DisplayName","Name"
"Remote Access Connection Manager","RasMan"
"Routing and Remote Access","RemoteAccess"
"Remote Registry","RemoteRegistry"
"Retail Demo Service","RetailDemo"
"Radio Management Service","RmSvc"
"RPC Endpoint Mapper","RpcEptMapper"
"Remote Procedure Call (RPC) Locator","RpcLocator"
"Remote Procedure Call (RPC)","RpcSs"
"Realtek Audio Service","RtkAudioService"
"Security Accounts Manager","SamSs"
"Smart Card","SCardSvr"
"Smart Card Device Enumeration Service","ScDeviceEnum"
"Task Scheduler","Schedule"
"Smart Card Removal Policy","SCPolicySvc"
"Windows Backup","SDRSVC"
"Secondary Logon","seclogon"
"Windows Defender Security Center Service","SecurityHealthService"
"Payments and NFC/SE Manager","SEMgrSvc"
"System Event Notification Service","SENS"
"Windows Defender Advanced Threat Protection Service","Sense"
"Sensor Data Service","SensorDataService"
"Sensor Service","SensorService"
"Sensor Monitoring Service","SensrSvc"
"Symantec Endpoint Protection","SepMasterService"
"Remote Desktop Configuration","SessionEnv"
"SafeGuard(R) MasterApplication WatchDog","SGMasterWatchDog"
"SafeGuard(R) Log Service","SGN_LogSystem"
"SafeGuard(R) System Event Manager","SGN_Sem"
"SafeGuard(R) Transport Service","SGN_Trans"
"SafeGuard(R) WMI Listener","SGN_WMIListener"
"SafeGuard(R) Authentication Service","SGNAuthService"
"SGNSafeModeService","SGNSafeModeService"
"SafeGuard(R) Telemetry Service","SGTelemetryWinService"
"Internet Connection Sharing (ICS)","SharedAccess"
"Spatial Data Service","SharedRealitySvc"
"Shell Hardware Detection","ShellHWDetection"
"Shared PC Account Manager","shpamsvc"
"Symantec Data Center Security Server IDS Agent","SISIDSService"
"Symantec Data Center Security Server Agent","SISIPSService"
"Symantec Data Center Security Server Utility","SISIPSUtil"
"Microsoft Storage Spaces SMP","smphost"
"Microsoft Windows SMS Router Service.","SmsRouter"
"ConfigMgr Task Sequence Agent","smstsmgr"
"Symantec Network Access Control","SNAC"
"SNMP Trap","SNMPTRAP"
"Windows Perception Service","spectrum"
"Print Spooler","Spooler"
"Software Protection","sppsvc"
"SSDP Discovery","SSDPSRV"
"Secure Socket Tunneling Protocol Service","SstpSvc"
"State Repository Service","StateRepository"
"Windows Image Acquisition (WIA)","stisvc"
"Storage Service","StorSvc"
"Spot Verifier","svsvc"
"Microsoft Software Shadow Copy Provider","swprv"
"Superfetch","SysMain"
"System Events Broker","SystemEventsBroker"
"Touch Keyboard and Handwriting Panel Service","TabletInputService"
"Telephony","TapiSrv"
"Remote Desktop Services","TermService"
"Themes","Themes"
"Storage Tiers Management","TieringEngineService"
"Tile Data model server","tiledatamodelsvc"
"Time Broker","TimeBrokerSvc"
"Web Account Manager","TokenBroker"
"Lenovo Hotkey Client Loader","TPHKLOAD"
"Distributed Link Tracking Client","TrkWks"
"Windows Modules Installer","TrustedInstaller"
"Auto Time Zone Updater","tzautoupdate"
"User Experience Virtualization Service","UevAgentService"
"Interactive Services Detection","UI0Detect"
"Remote Desktop Services UserMode Port Redirector","UmRdpService"
"User Data Storage_17d7b5","UnistoreSvc_17d7b5"
"UPnP Device Host","upnphost"
"User Data Access_17d7b5","UserDataSvc_17d7b5"
"User Manager","UserManager"
"Update Orchestrator Service","UsoSvc"
"Credential Manager","VaultSvc"
"Virtual Disk","vds"
"Hyper-V Guest Service Interface","vmicguestinterface"
"Hyper-V Heartbeat Service","vmicheartbeat"
"Hyper-V Data Exchange Service","vmickvpexchange"
"Hyper-V Remote Desktop Virtualization Service","vmicrdv"
"Hyper-V Guest Shutdown Service","vmicshutdown"
"Hyper-V Time Synchronization Service","vmictimesync"
"Hyper-V PowerShell Direct Service","vmicvmsession"
